tag,published_at,type
v0.18.2,2025-08-05T10:21:32Z,patch
v0.18.1,2025-08-05T09:43:03Z,patch
v0.18.0,2025-04-10T16:54:56Z,minor
v0.17.0,2025-01-30T19:45:38Z,minor
v0.16.3,2024-07-04T16:40:09Z,patch
v0.16.2,2024-05-31T10:06:24Z,patch
v0.16.1,2024-04-23T11:57:48Z,patch
v0.16.0,2023-10-26T15:10:16Z,minor
v0.15.2,2023-08-17T10:44:40Z,patch
v0.15.1,2023-07-05T19:35:53Z,patch
v0.15.0,2023-06-01T09:16:22Z,minor
v0.14.4,2023-02-02T14:26:33Z,patch
v0.14.3,2022-11-17T19:35:28Z,patch
v0.14.2,2022-08-10T16:21:44Z,patch
v0.14.1,2022-06-21T19:10:56Z,patch
v0.14.0,2022-04-25T21:30:45Z,minor
v0.13.0,2021-06-09T23:30:20Z,minor
v0.12.1,2021-03-22T15:23:27Z,patch
v0.11.1,2020-08-16T19:06:41Z,patch
v0.11.0,2020-05-25T19:00:10Z,minor
v0.10.0,2020-01-21T22:39:50Z,minor
v0.9.0,2019-12-08T00:22:22Z,minor
v0.8.0,2019-10-08T21:06:09Z,minor
v0.7.0,2019-04-08T20:24:47Z,minor
v0.6.9,2019-01-29T15:11:40Z,patch
v0.6.8,2018-09-11T11:21:18Z,patch
v0.6.7,2018-07-07T16:52:00Z,patch
v0.6.6,2018-05-20T05:15:39Z,patch
0.6.5,2018-02-01T02:11:09Z,patch
0.6.4,2017-12-05T22:44:32Z,patch
0.6.3,2017-12-01T00:30:34Z,patch
0.6.2,2017-10-25T18:39:11Z,patch
0.6.1,2017-09-13T22:48:34Z,patch
0.6.0,2017-08-19T20:50:29Z,minor
0.5.0,2017-05-12T15:20:44Z,minor
0.4.0,2016-08-18T17:28:52Z,minor
0.3.2,2016-07-18T19:50:37Z,patch
0.3.0,2016-06-23T20:49:08Z,minor
0.2.0,2016-04-01T18:18:03Z,minor
0.1.0,2016-04-01T18:18:38Z,minor
