tag,published_at,type
v1.22.0,2025-11-10T18:01:25Z,minor
v1.21.0,2025-06-25T11:29:47Z,minor
v1.20.2,2025-03-13T13:22:18Z,patch
v1.20.1,2025-02-19T19:50:03Z,patch
v1.20.0,2024-11-04T15:56:57Z,minor
v1.19.1,2024-07-05T07:22:34Z,patch
v1.19.0,2024-06-13T14:51:32Z,minor
v1.18.3,2024-02-13T10:17:52Z,patch
v1.18.2,2024-02-05T11:22:46Z,patch
v1.18.1,2023-11-09T09:16:35Z,patch
v1.18.0,2023-10-23T07:26:53Z,minor
v1.17.1,2023-08-17T07:08:33Z,patch
v1.17.0,2023-07-25T16:28:16Z,minor
v1.16.2,2023-06-08T16:36:04Z,patch
v1.16.1,2023-06-05T10:29:36Z,patch
v1.16.0,2023-05-09T07:31:38Z,minor
v1.15.4,2023-01-16T20:43:43Z,patch
v1.15.3,2022-12-13T08:18:39Z,patch
v1.15.2,2022-11-03T13:21:57Z,patch
v1.15.1,2022-10-07T15:56:12Z,patch
v1.15.0,2022-07-11T12:41:38Z,minor
v1.14.9,2022-05-09T23:14:01Z,patch
v1.14.8,2022-02-16T13:26:03Z,patch
v1.14.7,2021-12-16T15:54:33Z,patch
v1.14.6,2021-09-30T16:18:23Z,patch
v1.14.5,2021-07-19T16:43:02Z,patch
v1.14.4,2021-05-20T10:10:56Z,patch
v1.14.3,2021-04-26T15:45:22Z,patch
v1.14.2,2021-03-04T17:15:32Z,patch
v1.14.1,2021-01-27T18:07:05Z,patch
v1.14.0,2020-12-03T18:36:32Z,minor
v1.13.5,2020-10-28T20:10:59Z,patch
v1.13.4,2020-10-23T11:37:56Z,patch
v1.13.3,2020-06-23T14:27:33Z,patch
v1.13.2,2020-04-02T00:19:21Z,patch
v1.13.1,2020-03-25T11:49:39Z,patch
v1.13.0,2020-03-21T21:19:50Z,minor
v1.12.7,2019-11-23T00:20:45Z,patch
v1.12.6,2019-10-08T23:08:55Z,patch
v1.12.5,2019-08-14T19:07:53Z,patch
v1.12.4,2019-08-05T13:30:37Z,patch
v1.12.3,2019-05-20T15:04:04Z,patch
v1.12.2,2019-05-01T09:00:42Z,patch
v1.12.1,2019-04-18T19:08:23Z,patch
v1.12.0,2019-04-08T01:22:06Z,minor
v1.11.3,2019-02-26T14:28:44Z,patch
v1.11.2,2019-01-28T16:45:57Z,patch
v1.11.1,2019-01-18T02:21:36Z,patch
v1.11.0,2018-12-25T00:47:25Z,minor
v1.10.9,2018-10-30T13:35:23Z,patch
v1.10.8,2018-10-29T16:22:28Z,patch
v1.10.7,2018-07-08T16:48:50Z,patch
v1.10.6,2018-06-29T20:28:15Z,patch
v1.10.5,2018-06-05T20:49:52Z,patch
v1.10.4,2018-05-15T00:41:07Z,patch
v1.10.3,2018-05-08T21:06:07Z,patch
v1.10.2,2018-04-30T19:06:38Z,patch
v1.10.1,2018-04-20T16:02:53Z,patch
v1.10.0,2018-04-17T13:06:29Z,minor
v1.9.5,2018-03-02T13:09:27Z,patch
v1.9.4,2018-02-16T16:59:51Z,patch
v1.9.3,2018-02-11T21:22:37Z,patch
v1.9.2,2017-12-12T18:35:14Z,patch
v1.9.1,2017-11-13T02:15:20Z,patch
v1.9.0,2017-11-03T14:15:25Z,minor
v1.8.4,2017-09-13T23:21:43Z,patch
v1.8.3,2017-08-21T23:06:37Z,patch
v1.8.2,2017-08-04T18:25:30Z,patch
v1.8.1,2017-07-07T16:23:45Z,patch
v1.8.0,2017-06-30T01:25:44Z,minor
v1.7.0,2017-04-25T21:01:54Z,minor
v1.6.2,2016-08-23T19:54:36Z,patch
v1.6.1,2016-07-27T20:15:05Z,patch
v1.6.0,2016-07-27T20:07:22Z,minor
v1.5.0,2016-05-12T00:20:44Z,minor
v1.4.3,2016-02-11T15:02:39Z,patch
v1.4.2,2016-02-07T12:18:45Z,patch
v1.4.1,2015-12-22T12:34:10Z,patch
v1.4.0,2015-12-05T17:44:25Z,minor
v1.3.2,2015-07-06T21:45:36Z,patch
v1.3.1,2015-07-01T13:04:54Z,patch
v1.3.0,2015-06-27T13:51:21Z,minor
v1.2.0,2015-05-28T14:45:06Z,minor
v1.1.0,2015-05-19T20:37:52Z,minor
v1.0.1,2015-05-19T20:34:01Z,patch
v1.0.0,2015-03-17T00:46:56Z,major
