tag,published_at,type
v1.7.2,2025-06-26T17:36:01Z,patch
v1.7.1,2025-05-28T10:03:23Z,patch
v1.7.0,2025-05-16T12:11:48Z,minor
v1.6.3,2025-04-23T18:02:08Z,patch
v1.6.2,2025-03-28T13:17:49Z,patch
v1.6.1,2025-02-14T14:42:25Z,patch
v1.6.0,2025-01-23T16:24:59Z,minor
v1.5.5,2024-12-18T11:36:42Z,patch
v1.5.4,2024-11-12T22:54:03Z,patch
v1.5.3,2024-10-23T10:53:16Z,patch
v1.5.2,2024-10-03T21:43:21Z,patch
v1.5.1,2024-09-30T10:39:44Z,patch
v1.5.0,2024-09-16T13:17:39Z,minor
v1.4.5,2024-08-02T09:03:01Z,patch
v1.4.4,2024-05-31T17:32:47Z,patch
v1.4.3,2024-05-23T12:06:50Z,patch
v1.4.2,2024-04-23T09:10:16Z,patch
v1.4.1,2024-04-09T10:46:42Z,patch
v1.4.0,2024-03-27T15:58:45Z,minor
v1.3.8,2024-01-24T17:32:42Z,patch
v1.3.7,2024-01-19T16:58:16Z,patch
v1.3.6,2023-12-20T18:14:26Z,patch
v1.3.5,2023-12-18T17:23:20Z,patch
v1.3.4,2023-11-29T18:24:11Z,patch
v1.3.2,2023-11-22T15:11:06Z,patch
v1.3.1,2023-10-31T16:50:44Z,patch
v1.3.0,2023-10-24T08:01:12Z,minor
v1.2.3,2023-09-18T09:39:21Z,patch
v1.2.2,2023-09-01T17:23:43Z,patch
v1.2.1,2023-07-25T16:39:56Z,patch
v1.2.0,2023-07-06T11:28:47Z,minor
v1.1.1,2023-06-21T13:45:56Z,patch
v1.1.0,2023-06-05T20:20:00Z,minor
v1.0.4,2023-05-31T13:51:14Z,patch
v1.0.3,2023-05-25T09:30:26Z,patch
v1.0.2,2023-05-20T01:33:19Z,patch
v1.0.1,2023-05-18T12:02:34Z,patch
v1.0.0,2023-05-17T18:11:24Z,major
v0.14.4,2023-03-04T22:12:04Z,patch
v0.14.3,2023-01-31T15:59:20Z,patch
v0.14.2,2022-12-16T17:43:14Z,patch
v0.14.1,2022-11-01T09:58:10Z,patch
v0.14.0,2022-10-05T15:20:36Z,minor
v0.13.1,2022-05-24T10:14:55Z,patch
v0.13.0,2022-04-15T15:23:49Z,minor
v0.12.7,2022-03-27T10:57:30Z,patch
v0.12.6,2021-12-09T16:47:15Z,patch
v0.12.5,2021-11-23T17:55:24Z,patch
v0.12.4,2021-09-27T12:41:19Z,patch
v0.12.3,2021-09-17T20:14:16Z,patch
v0.12.2,2021-09-16T15:46:33Z,patch
v0.12.1,2021-08-10T15:17:02Z,patch
v0.12.0,2021-07-20T15:25:29Z,minor
v0.11.3,2021-04-15T09:58:42Z,patch
v0.11.2,2021-04-09T18:45:31Z,patch
v0.11.1,2021-03-15T18:40:08Z,patch
v0.11.0,2021-03-02T15:12:53Z,minor
v0.10.3,2021-01-18T15:16:24Z,patch
v0.10.2,2020-11-18T14:03:40Z,patch
v0.10.1,2020-10-28T12:36:20Z,patch
v0.10.0,2020-10-26T14:21:01Z,minor
v0.9.7,2020-07-27T15:22:05Z,patch
v0.9.6,2020-06-21T11:50:29Z,patch
v0.9.5,2020-04-04T00:03:06Z,patch
v0.9.4,2020-04-02T02:05:46Z,patch
v0.9.3,2020-03-21T20:49:04Z,patch
v0.9.2,2020-03-21T20:34:48Z,patch
v0.9.1,2020-03-19T17:09:50Z,patch
v0.9.0,2020-03-19T17:09:14Z,minor
v0.8.1,2020-03-11T12:20:37Z,patch
v0.8.0,2020-01-31T16:35:38Z,minor
v0.7.0,2019-11-22T22:12:14Z,minor
v0.6.4,2019-11-13T22:54:51Z,patch
v0.6.3,2019-10-03T13:09:12Z,patch
v0.6.2,2019-11-14T00:42:15Z,patch
v0.6.1,2019-08-08T13:37:12Z,patch
v0.6.0,2019-06-08T19:14:03Z,minor
v0.5.1,2019-04-11T17:22:46Z,patch
v0.5.0,2019-04-09T17:02:17Z,minor
v0.4.0,2019-02-07T15:28:02Z,minor
v0.3.1,2019-04-09T02:04:06Z,patch
v0.3.0,2019-02-07T15:47:39Z,minor
v0.1.3,2018-10-23T13:57:30Z,patch
